author:id, total:   13
author:hs, total:   13
author:ob, total:   13
author:dl, total:   13
author:sa, total:   13
author:ch, total:   13
author:ua, total:   13
author:ph, total:   13
author:ko, total:   13
author:bi, total:   13
author:le, total:   13
author:to, total:   13
author:wt, total:   13
author:wo, total:   13
author:br, total:   13
author:cl, total:   13
author:sk, total:   13
author:pe, total:   13
author:de, total:   12
author:ta, total:   12
author:cl, total:   12
author:no, total:   12
author:un, total:   12
author:he, total:   12
author:A1, total:   12
author:la, total:   12
author:yh, total:   12
author:j1, total:   12
author:Bl, total:   12
author:ra, total:   12
author:tr, total:   12
author:Ka, total:   12
author:ak, total:   12
author:tw, total:   12
author:na, total:   12
author:ch, total:   12
author:us, total:   12
author:sh, total:   12
author:zi, total:   12
author:st, total:   12
author:jk, total:   12
author:vi, total:   12
author:ga, total:   12
author:da, total:   12
author:kh, total:   12
author:do, total:   12
author:as, total:   12
author:fr, total:   12
author:cc, total:   12
author:sc, total:   12
author:mo, total:   12
author:ge, total:   12
author:or, total:   12
author:nv, total:   12
author:bu, total:   12
author:zm, total:   12
author:lu, total:   12
author:ka, total:   12
author:ze, total:   12
author:xi, total:   12
author:to, total:   12
author:el, total:   12
author:so, total:   12
author:da, total:   12
author:ta, total:   12
author:ji, total:   11
author:be, total:   11
author:pl, total:   11
author:ld, total:   11
author:rn, total:   11
author:lc, total:   11
author:wa, total:   11
author:kp, total:   11
author:je, total:   11
author:ni, total:   11
author:sw, total:   11
author:jo, total:   11
author:ju, total:   11
author:ko, total:   11
author:ry, total:   11
author:to, total:   11
author:ca, total:   11
author:cl, total:   11
author:da, total:   11
author:rk, total:   11
author:al, total:   11
author:ps, total:   11
author:ta, total:   11
author:yo, total:   11
author:in, total:   11
author:de, total:   11
author:di, total:   11
author:se, total:   11
author:da, total:   11
author:wh, total:   11
author:am, total:   11
author:LJ, total:   11
author:hy, total:   11
author:ki, total:   11
author:sd, total:   11
author:ep, total:   11
author:nz, total:   11
author:jn, total:   11
author:sp, total:   11
author:nu, total:   11
author:gg, total:   11
author:so, total:   11
author:be, total:   11
author:Ju, total:   11
author:dj, total:   11
author:ts, total:   11
author:wi, total:   11
author:lk, total:   11
author:in, total:   11
author:pa, total:   11
author:mi, total:   11
author:gu, total:   10
author:go, total:   10
author:Ra, total:   10
author:hu, total:   10
author:cr, total:   10
author:re, total:   10
author:li, total:   10
author:me, total:   10
author:zz, total:   10
author:gm, total:   10
author:me, total:   10
author:ha, total:   10
author:to, total:   10
author:xp, total:   10
author:jo, total:   10
author:cr, total:   10
author:il, total:   10
author:ch, total:   10
author:li, total:   10
author:po, total:   10
author:no, total:   10
author:sl, total:   10
author:jj, total:   10
author:me, total:   10
author:an, total:   10
author:Jh, total:   10
author:me, total:   10
author:in, total:   10
author:Mi, total:   10
author:hi, total:   10
author:zo, total:   10
author:sa, total:   10
author:ga, total:   10
author:dd, total:   10
author:ra, total:   10
author:mo, total:   10
author:wd, total:   10
author:sa, total:   10
author:jo, total:   10
author:ne, total:   10
author:yu, total:   10
author:98, total:   10
author:dr, total:   10
author:ze, total:   10
author:ho, total:   10
author:c3, total:   10
author:pi, total:   10
author:ep, total:   10
author:ne, total:   10
author:le, total:   10
author:no, total:   10
author:ga, total:   10
author:th, total:   10
author:se, total:   10
author:sg, total:   10
author:ad, total:   10
author:wo, total:   10
author:ha, total:   10
author:an, total:   10
author:so, total:   10
author:il, total:   10
author:ja, total:   10
author:hu, total:   10
author:od, total:   10
author:jz, total:   10
author:br, total:   10
author:ji, total:   10
author:ja, total:   10
author:kh, total:   10
author:jk, total:    9
author:ot, total:    9
author:kw, total:    9
author:ag, total:    9
