author:say, total:    5
author:jka, total:    5
author:jun, total:    5
author:bas, total:    5
author:sin, total:    5
author:jar, total:    5
author:sav, total:    5
author:hum, total:    5
author:miu, total:    5
author:ini, total:    5
author:cow, total:    5
author:pik, total:    5
author:ple, total:    5
author:min, total:    5
author:dud, total:    5
author:lov, total:    5
author:ma2, total:    5
author:hon, total:    5
author:tot, total:    5
author:jim, total:    5
author:f9e, total:    5
author:lab, total:    5
author:mik, total:    5
author:dol, total:    5
author:lkt, total:    5
author:jih, total:    5
author:ssy, total:    5
author:n_m, total:    5
author:tel, total:    5
author:fbq, total:    5
author:jon, total:    5
author:men, total:    5
author:wwt, total:    5
author:sna, total:    5
author:acl, total:    5
author:ero, total:    5
author:aki, total:    5
author:bul, total:    5
author:kty, total:    5
author:gga, total:    5
author:sik, total:    5
author:tim, total:    5
author:bee, total:    5
author:hah, total:    5
author:emi, total:    5
author:sat, total:    5
author:fir, total:    5
author:sun, total:    5
author:raj, total:    5
author:woo, total:    5
author:gus, total:    5
author:rei, total:    5
author:bjk, total:    5
author:cys, total:    5
author:luk, total:    5
author:net, total:    5
author:sas, total:    5
author:str, total:    5
author:ica, total:    5
author:kbs, total:    5
author:lik, total:    5
author:spw, total:    5
author:pop, total:    5
author:tan, total:    5
author:dol, total:    5
author:shu, total:    5
author:jyk, total:    5
author:xge, total:    5
author:lov, total:    5
author:ymk, total:    5
author:yuj, total:    5
author:pra, total:    5
author:dow, total:    5
author:osl, total:    5
author:zup, total:    5
author:dio, total:    5
author:men, total:    5
author:sho, total:    5
author:N2b, total:    5
author:swn, total:    5
author:ssh, total:    5
author:ysb, total:    5
author:noe, total:    5
author:min, total:    5
author:gis, total:    5
author:mj2, total:    5
author:2uo, total:    5
author:abc, total:    5
author:csg, total:    5
author:ura, total:    5
author:btl, total:    5
author:jjj, total:    5
author:sem, total:    5
author:rai, total:    5
author:lee, total:    5
author:gra, total:    5
author:gur, total:    5
author:ior, total:    5
author:luc, total:    5
author:hkm, total:    5
author:veg, total:    5
author:zzo, total:    5
author:dra, total:    5
author:wqw, total:    5
author:h5t, total:    5
author:kho, total:    5
author:sca, total:    5
author:pyr, total:    5
author:rev, total:    5
author:lov, total:    5
author:kjh, total:    5
author:Mci, total:    5
author:syg, total:    5
author:now, total:    5
author:tak, total:    5
author:wni, total:    5
author:cli, total:    5
author:pal, total:    5
author:eng, total:    5
author:soo, total:    5
author:kim, total:    5
author:qnf, total:    5
author:ohl, total:    5
author:ors, total:    5
author:pow, total:    5
author:mgu, total:    5
author:gan, total:    5
author:ypc, total:    5
author:jjm, total:    5
author:meg, total:    5
author:hyo, total:    5
author:ima, total:    5
author:lge, total:    5
author:lit, total:    5
author:bjh, total:    5
